contractor_id,name,address,city,state,postal_code,country,phone,website,rating,review_count,certifications,years_in_business,number_of_employees,state_license_number,description,profile_url,scraped_at,search_postal_code,search_distance
1113654,Matute Roofing,,Wayne,NJ,07470,USA,(973) 618-6489,,5.0,452,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/wayne/matute-roofing-1113654,2026-02-12T20:46:48.623771+00:00,10013,25
1004859,Preferred Exterior Corp,,New Hyde Park,NY,11040,USA,(516) 354-7252,,5.0,50,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-hyde-park/preferred-exterior-corp-1004859,2026-02-12T20:46:48.623799+00:00,10013,25
1116285,Allied Brothers Home Corporation,,Wayne,NJ,07470,USA,(973) 566-0060,,4.9,249,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/wayne/allied-brothers-home-corporation-1116285,2026-02-12T20:46:48.623811+00:00,10013,25
1141159,Jersey Roofing LLC,,Garfield,NJ,07026,USA,(201) 982-2718,,5.0,434,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/garfield/jersey-roofing-llc-1141159,2026-02-12T20:46:48.623823+00:00,10013,25
1139561,Donny's Home Improvement,,Elmwood Park,NJ,07407,USA,(973) 333-6364,,5.0,114,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/elmwood-park/donnys-home-improvement-1139561,2026-02-12T20:46:48.623831+00:00,10013,25
1100696,Brothers Aluminum Home Improvements Corp,,Valley Stream,NY,11580,USA,(516) 872-0947,,4.9,358,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/valley-stream/brothers-aluminum-home-improvements-corp-1100696,2026-02-12T20:46:48.623840+00:00,10013,25
1113999,Blue Nail Exteriors,,Montville,NJ,07045,USA,(973) 937-8876,,4.9,325,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/montville/blue-nail-exteriors-1113999,2026-02-12T20:46:48.623847+00:00,10013,25
1001655,The Great American Roofing Company,,Ramsey,NJ,07446,USA,(201) 825-2955,,4.9,150,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/ramsey/the-great-american-roofing-company-1001655,2026-02-12T20:46:48.623856+00:00,10013,25
1005677,American Roofing and Siding,,Nutley,NJ,07110,USA,(973) 542-0710,,4.9,128,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/nutley/american-roofing-and-siding-1005677,2026-02-12T20:46:48.623869+00:00,10013,25
1003844,John Goess Roofing Inc,,Westbury,NY,11590,USA,(516) 541-4597,,4.9,59,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/westbury/john-goess-roofing-inc-1003844,2026-02-12T20:46:48.623877+00:00,10013,25
1130919,Grapevine Pro,,Iselin,NJ,08830,USA,(732) 335-7770,,4.7,433,President's Club Award | GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/iselin/grapevine-pro-1130919,2026-02-12T20:46:48.623890+00:00,10013,25
1002688,Complete Roof Systems,,Dumont,NJ,07628,USA,(201) 387-1846,,5.0,362,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/dumont/complete-roof-systems-1002688,2026-02-12T20:46:48.623898+00:00,10013,25
1101267,AK Gatsios Inc,,Bronx,NY,10465,USA,(646) 302-5175,,5.0,316,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/ak-gatsios-inc-1101267,2026-02-12T20:46:48.623905+00:00,10013,25
1143942,RH Renovation LLC,,Bronx,NY,10461,USA,(646) 818-4305,,5.0,305,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/rh-renovation-llc-1143942,2026-02-12T20:46:48.623912+00:00,10013,25
1146349,DeFalco Roofing,,Fairfield,NJ,07004,USA,(973) 255-0374,,5.0,303,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/fairfield/defalco-roofing-1146349,2026-02-12T20:46:48.623919+00:00,10013,25
1107024,MNT Roofing & Siding,,Totowa,NJ,07512,USA,(973) 758-7077,,5.0,134,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/totowa/mnt-roofing-siding-1107024,2026-02-12T20:46:48.623925+00:00,10013,25
1148691,Future Remodeling,,Bergenfield,NJ,07621,USA,(866) 221-1433,,5.0,119,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bergenfield/future-remodeling-1148691,2026-02-12T20:46:48.623932+00:00,10013,25
1143894,Golden Key Construction Group Inc,,Staten Island,NY,10304,USA,(929) 353-9227,,5.0,113,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/golden-key-construction-group-inc-1143894,2026-02-12T20:46:48.623939+00:00,10013,25
1112309,One Call Construction,,Hawthorne,NJ,07506,USA,(800) 747-0283,,5.0,108,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/hawthorne/one-call-construction-1112309,2026-02-12T20:46:48.623945+00:00,10013,25
1139367,Aura Home Exteriors,,Edison,NJ,08817,USA,(732) 851-8028,,5.0,104,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/edison/aura-home-exteriors-1139367,2026-02-12T20:46:48.623960+00:00,10013,25
1150334,Apex Roofing Solutions,,Woodland Park,NJ,07424,USA,(973) 558-3045,,5.0,89,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/woodland-park/apex-roofing-solutions-1150334,2026-02-12T20:46:48.623971+00:00,10013,25
1118403,Reisch Roofing and Construction LLC,,Pompton Plains,NJ,07444,USA,(855) 734-7241,,5.0,70,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/pompton-plains/reisch-roofing-and-construction-llc-1118403,2026-02-12T20:46:48.623978+00:00,10013,25
1149465,Revive Home Remodeling Group LLC,,Woodbridge,NJ,07095,USA,(908) 420-5098,,5.0,64,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/woodbridge/revive-home-remodeling-group-llc-1149465,2026-02-12T20:46:48.623985+00:00,10013,25
1104793,Kelly Exteriors,,Emerson,NJ,07630,USA,(201) 977-1076,,5.0,59,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/emerson/kelly-exteriors-1104793,2026-02-12T20:46:48.623992+00:00,10013,25
1131213,High Caliber Renovations LLC,,Rahway,NJ,07065,USA,(908) 472-5096,,5.0,58,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/rahway/high-caliber-renovations-llc-1131213,2026-02-12T20:46:48.623998+00:00,10013,25
1000079,ARM Roofing,,Elmsford,NY,10523,USA,(914) 347-2763,,5.0,10,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/elmsford/arm-roofing-1000079,2026-02-12T20:46:48.624011+00:00,10013,25
1135593,All Seasons Roofing LLC,,Staten Island,NY,10312,USA,(718) 200-1802,,5.0,6,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/all-seasons-roofing-llc-1135593,2026-02-12T20:46:48.624018+00:00,10013,25
1004925,Patwood Roofing Co Inc,,Little Falls,NJ,07424,USA,(973) 256-0400,,5.0,5,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/little-falls/patwood-roofing-co-inc-1004925,2026-02-12T20:46:48.624025+00:00,10013,25
1120367,A&S Construction & Son Inc,,Brooklyn,NY,11228,USA,(347) 326-4098,,5.0,1,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/as-construction-son-inc-1120367,2026-02-12T20:46:48.624035+00:00,10013,25
1005906,Long Island Roofing and Repairs Service,,North Bellmore,NY,11710,USA,(516) 221-9100,,4.9,360,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/north-bellmore/long-island-roofing-and-repairs-service-1005906,2026-02-12T20:46:48.624042+00:00,10013,25
1004426,R&G Services Corp,,Orange,NJ,07050,USA,(973) 324-9461,,4.9,293,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/orange/rg-services-corp-1004426,2026-02-12T20:46:48.624051+00:00,10013,25
1005149,American Home Contractors Inc,,Florham Park,NJ,07932,USA,(908) 771-0123,,4.9,258,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/florham-park/american-home-contractors-inc-1005149,2026-02-12T20:46:48.624058+00:00,10013,25
1100484,The Carpenter's Touch LLC,,Livingston,NJ,07039,USA,(973) 994-1085,,4.9,160,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/livingston/the-carpenters-touch-llc-1100484,2026-02-12T20:46:48.624065+00:00,10013,25
1100365,Above & Beyond Exterior Remodelers,,Westfield,NJ,07090,USA,(732) 322-8482,,4.9,146,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/westfield/above-beyond-exterior-remodelers-1100365,2026-02-12T20:46:48.624071+00:00,10013,25
1111706,A L Best Construction Corp,,Queens Village,NY,11429,USA,(800) 516-1424,,4.9,117,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/queens-village/a-l-best-construction-corp-1111706,2026-02-12T20:46:48.624078+00:00,10013,25
1112549,LGM Roofing Contractors,,Bloomfield,NJ,07003,USA,(973) 707-2154,,4.9,108,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bloomfield/lgm-roofing-contractors-1112549,2026-02-12T20:46:48.624084+00:00,10013,25
1119370,Lojas Home Improvement Plus LLC,,Union,NJ,07083,USA,(973) 757-3958,,4.9,108,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/lojas-home-improvement-plus-llc-1119370,2026-02-12T20:46:48.624090+00:00,10013,25
1121148,American Star Contractor Corp,,Bronx,NY,10462,USA,(862) 294-9990,,4.9,87,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/bronx/american-star-contractor-corp-1121148,2026-02-12T20:46:48.624097+00:00,10013,25
1108705,American Quality Home Improvements LLC,,Belleville,NJ,07109,USA,(888) 205-1925,,4.9,84,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/belleville/american-quality-home-improvements-llc-1108705,2026-02-12T20:46:48.624103+00:00,10013,25
1142742,KNA Roofing,,New York,NY,10113,USA,(718) 288-6808,,4.9,74,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/new-york/kna-roofing-1142742,2026-02-12T20:46:48.624109+00:00,10013,25
1139996,MK Best Roofing,,Roosevelt,NY,11575,USA,(631) 645-2710,,4.9,54,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/roosevelt/mk-best-roofing-1139996,2026-02-12T20:46:48.624118+00:00,10013,25
1002346,RK Roofing Inc,,Caldwell,NJ,07006,USA,(973) 226-2605,,4.9,47,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/caldwell/rk-roofing-inc-1002346,2026-02-12T20:46:48.624124+00:00,10013,25
1002371,Rebuild America Inc,,Mineola,NY,11501,USA,(516) 535-9293,,4.9,34,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/mineola/rebuild-america-inc-1002371,2026-02-12T20:46:48.624133+00:00,10013,25
1109076,Royal Renovators Inc,,Forest Hills,NY,11375,USA,(718) 414-6067,,4.8,240,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/forest-hills/royal-renovators-inc-1109076,2026-02-12T20:46:48.624139+00:00,10013,25
1118752,A&J Professional Services Inc,,South Plainfield,NJ,07080,USA,(908) 432-7081,,4.8,220,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-plainfield/aj-professional-services-inc-1118752,2026-02-12T20:46:48.624145+00:00,10013,25
1103353,B&B Siding and Roofing,,Staten Island,NY,10314,USA,(718) 757-2904,,4.8,174,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/bb-siding-and-roofing-1103353,2026-02-12T20:46:48.624152+00:00,10013,25
1003499,CKG Contractors Inc,,Parsippany,NJ,07054,USA,(973) 599-0811,,4.8,150,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/parsippany/ckg-contractors-inc-1003499,2026-02-12T20:46:48.624242+00:00,10013,25
1112005,Kamtech Restoration Corp,,Brooklyn,NY,11228,USA,(347) 860-1109,,4.8,146,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/brooklyn/kamtech-restoration-corp-1112005,2026-02-12T20:46:48.624250+00:00,10013,25
1136200,Seci Construction Inc,,Clifton,NJ,07012,USA,(866) 572-7324,,4.8,122,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/seci-construction-inc-1136200,2026-02-12T20:46:48.624257+00:00,10013,25
1100517,R Jenny Construction,,Orange,NJ,07050,USA,(973) 673-7663,,4.8,24,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/orange/r-jenny-construction-1100517,2026-02-12T20:46:48.624265+00:00,10013,25
1104750,Dior Construction,,Bergenfield,NJ,07621,USA,(201) 472-5462,,4.7,274,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/bergenfield/dior-construction-1104750,2026-02-12T20:46:48.624275+00:00,10013,25
1002062,Abraham Roofing,,Lynbrook,NY,11563,USA,(800) 347-0913,,4.7,112,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/lynbrook/abraham-roofing-1002062,2026-02-12T20:46:48.624282+00:00,10013,25
1141740,SmartRoof LLC,,Parsippany,NJ,07054,USA,(844) 334-1864,,4.7,89,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/parsippany/smartroof-llc-1141740,2026-02-12T20:46:48.624288+00:00,10013,25
1103443,Gorman & Carbone Roofing Contractors,,Staten Island,NY,10307,USA,(718) 317-4023,,4.7,27,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/staten-island/gorman-carbone-roofing-contractors-1103443,2026-02-12T20:46:48.624295+00:00,10013,25
1100174,Homestead Roofing Company,,Ridgewood,NJ,07450,USA,(201) 444-2233,,4.6,171,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/ridgewood/homestead-roofing-company-1100174,2026-02-12T20:46:48.624301+00:00,10013,25
1006133,Acorn Home Improvements Inc,,Whippany,NJ,07981,USA,(973) 386-9604,,4.6,73,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/whippany/acorn-home-improvements-inc-1006133,2026-02-12T20:46:48.624308+00:00,10013,25
1101248,Garden State Roofing & Siding,,North Middletown,NJ,07748,USA,(732) 787-5545,,4.6,64,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/north-middletown/garden-state-roofing-siding-1101248,2026-02-12T20:46:48.624316+00:00,10013,25
1003072,Premium Home Improvements,,Berkeley Heights,NJ,07922,USA,(908) 898-1420,,4.6,55,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/berkeley-heights/premium-home-improvements-1003072,2026-02-12T20:46:48.624322+00:00,10013,25
1144121,Green Star Exteriors,,South Plainfield,NJ,07080,USA,(800) 625-0021,,4.6,33,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/south-plainfield/green-star-exteriors-1144121,2026-02-12T20:46:48.624329+00:00,10013,25
1123198,Abraham Roofing & Siding,,Union,NJ,07083,USA,(973) 379-1300,,4.6,10,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/union/abraham-roofing-siding-1123198,2026-02-12T20:46:48.624335+00:00,10013,25
1005319,Classic Remodeling Corp,,Paramus,NJ,07652,USA,(201) 745-8065,,4.5,56,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/paramus/classic-remodeling-corp-1005319,2026-02-12T20:46:48.624348+00:00,10013,25
1006185,FM Construction Group LLC,,East Orange,NJ,07018,USA,(973) 989-1616,,4.3,36,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/east-orange/fm-construction-group-llc-1006185,2026-02-12T20:46:48.624355+00:00,10013,25
1106994,A1 Affordable Construction,,Clifton,NJ,07011,USA,(800) 865-0053,,4.2,489,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/clifton/a1-affordable-construction-1106994,2026-02-12T20:46:48.624363+00:00,10013,25
1109046,American Siding Construction Corp,,Newark,NJ,07105,USA,(201) 772-7713,,4.1,27,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/newark/american-siding-construction-corp-1109046,2026-02-12T20:46:48.624369+00:00,10013,25
1136966,JC Master Inc,,Richmond Hill,NY,11418,USA,(347) 400-2611,,4.0,92,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/richmond-hill/jc-master-inc-1136966,2026-02-12T20:46:48.624375+00:00,10013,25
1004877,Nations Roof LLC,,Yonkers,NY,10701,USA,(732) 406-4471,,4.0,4,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/yonkers/nations-roof-llc-1004877,2026-02-12T20:46:48.624381+00:00,10013,25
1101120,Pravco Inc,,Rahway,NJ,07065,USA,(732) 388-0800,,3.7,10,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/rahway/pravco-inc-1101120,2026-02-12T20:46:48.624387+00:00,10013,25
1116337,Carework Construction LLC,,Lyndhurst,NJ,07071,USA,(201) 998-8960,,0.0,0,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/lyndhurst/carework-construction-llc-1116337,2026-02-12T20:46:48.624393+00:00,10013,25
1106495,DC Services,,Edison,NJ,08837,USA,(973) 991-1888,,0.0,0,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/nj/edison/dc-services-1106495,2026-02-12T20:46:48.624400+00:00,10013,25
1144075,Happy Remodeling,,Long Beach,NY,11561,USA,(516) 993-8556,,0.0,0,GAF Master Elite®,,,,,https://www.gaf.com/en-us/roofing-contractors/residential/usa/ny/long-beach/happy-remodeling-1144075,2026-02-12T20:46:48.624406+00:00,10013,25
